"","text"
"389","maxverstappen redbullracing hondaracingglb congratulations max verstappen   hug  chile"
"390","max verstappen   th career win   abu dhabi grand prix    th win   season  wel "
"391","congrats  max verstappen   easy abudhabigp win heres hoping      ferrari  mercede "
"392","max emilian verstappen  brother  christ  owe   "
"393","max verstappen  red bull   opinion  factual "
"394","positive max champion  record charles leclerc  racing    negative  real title batt "
"395","thanks  formula season     strongest driver max verstappen  strongest constructors "
"396"," redbullracing   max verstappen red bull racing   worldwide fans   celebrating  champ "
"397","warmvanxlla  penny hasnt dropped  perez  redbull  verstappen  team    help perez  "
"398","   formula race   season  brought    dunkin  oh wait  wasnt anyway  "
"399"," cant understand    people   max verstappen hes    worst races   history   "
"400","max verstappen season wins podiums   history  maxverstappen abudhabigp "
"401","elreyguiri max verstappen russell hamilton red bull haas mercedes hungaroring"
"402","     beeing selfish rules  world congrats leclerc   nd position  perez   "
"403"," topps   lewis hamiltonmax verstappenvaltteri bottas sgc gem mint plus shipped bmw "
"404"," redbullracing   max verstappen   blind    darkness   hungry    famine  "
"405","motorsport thats exactly  perez     help verstappen max   forgotten  selective mem "
"406","max verstappen   cheat code  season  wins "
"407","maxverstappen redbullracing hondaracingglb    daily reminder chinga tu madre max verstappen"
"408","bee  means max verstappen won  abu dhabi grand prix   united arab emirates  boy"
"409","max verstappen sei allucinante  wish      family  "
"410","max verstappen signs   recordextending win  abu dhabi grand prix ffinale "
"411","schecoperez redbullracing chingue  su madre max verstappen"
"412","max verstappen blames red bull  sergio perez misses   charles leclerc  "
"413","    favourite hobby   rattling max verstappen stans"
"414","max verstappen hate club"
"415","elreyguiri max verstappen charles leclerc daniel ricciardo red bull ferrari mclaren silverstone"
"416","deepthoughtsf verstappencom whatever verstappen    bad   eyes         "
"417","elreyguiri max verstappen nyck de vries daniel ricciardo red bull racing alpine ferrari silverstone"
"418","       max verstappen lauded   dominant fantastic season  former  world champio "
"419","sergio perez told   leave red bull  max verstappen feud isnt dropped "
"420","max verstappen jumpscare "
"421","jeremy clarkson brands formula max verstappen  bard humanerrorchampion "
"422","max verstappen  red bull "
"423"," topps dynasty formula red bull max verstappen dapmv patch auto  ebay "
"424","world champion max verstappen wins seasonclosing abu dhabi grand prix  ayirkadnews "
"425"," hate max verstappen"
"426","max verstappen wins  yas marina  leclerc holds  perez      race   drivers champio "
"427","moeezr  schecoperez redbullracing remember actually perez  verstappen   floors perez  "
"428","chwkrx roblmyers selfish verstappen    perez   lead  max   pace  control  rest "
"429","charlesleclerc  thanks  max verstappens help  week"
"430","silverarrowsnet max verstappen    deserving winner     boring   "
"431","max verstappen  red bull hannahs strategic   brilliant times   dhls fastest pit stop  "
"432","michaeltozer skmtutu mattywtf charlesleclerc  writing  stupid comment   read  tread  "
"433","tarquinhelmet debilaw whingerspice roblmyers youve spent  time editing sid  sloth onto max verstappen thats    sad"
"434","max verstappen topps chrom whodoyoucollect sponsored "
"435"," honestly dont talk     nyck de vries     half    max verstappen  "
