"","text"
"227","hello  welcome   addition   max verstappen post race cool  pod cast todays guests    "
"228","formula round abu dhabi gp race max verstappen charles leclerc sergio perez th win  max verstappe "
"229","heartbreak  checo    achievement  leclerc ferrari deny red bull  record finish  leclerc "
"230","    max verstappen  cost sergio perezs    championship      amazing    "
"231","redbull maxverstappen skysports   gall    sergio perezafter selfishly taking    "
"232","maxverstappen  redbullracing wins  abudhabigp  leclerc  nd followed  sergio perez    "
"233","venner xlevityyx skysportsf championship winning season  style   expense  mexican driver sergio  "
"234","maxverstappen  redbull racing    lot  answer  sergio perez    race  potentially  "
"235"," feel red bull  max verstappen     lot   help sergio perez        "
"236","stanreport  perez sacrificed  entire race  season   max  chance  lesson learned  sergio"
"237","     sergio perez   season youve   "
"238","   max verstappen   victory  nd championship  charles leclerc   sergio pr "
"239","charles leclerc  ferrari drove  perfect race  secure     constructors  drivers champion "
"240","round abu dhabi grand prix results max verstappen charles leclerc sergio perez fastest lap lando nor "
"241","red bulls max verstappen won  final race   season  abu dhabi  ferraris charles leclerc beat  dutch "
"242","   max verstappen   victory   championship  charles leclerc   sergio "
"243","cant help  feel sorry  sergio perez     team   "
"244","max verstappenhas won  abu dhabi grand prix butred bull racingcouldnt secure onetwo   world cham "
"245","breaking max verstappen wins  abu dhabi grand prix ahead  charles leclerc  sergio perez  dutchman  "
"246","sergio perez fucked       wdc   teammate   abudhabigp"
"247","charlesleclerc clinches    world championship  holding   hard charging sergio perez   line "
"248","max verstappen wins  abu dhabi grand prix ahead  charles leclerc  sergio perez  race   lot  fi "
"249"," verstappens selfishness  brazil cost redbullracing  sergio perez     championship  skyf abudhabigp"
"250","sergio perez finishing rd   championship purely   team mate wouldnt   past  race  "
"251","max verstappen  letting sergio perez pass  inter lagos decided  standing   drivers standing abudhabigp"
"252","sergio perez villain arc  ferrari   happen"
"253","max verstappen wins  abu dhabi gp charles leclerc holds    securing    drivers championship  "
"254","abu dhabi grand prix race results max verstappen red bull winner charles leclerc ferrari  ser "
"255","max verstappen   abudhabigp win  charles leclerc secures   sergio perez sebastian vette "
"256","sergio perez       times missing      drivers       clo "
"257","sergio checo perez    biggest disgrace  sporting history"
"258","bbcf stuff  stoker  rey  sergio perez  win  dor beat charles le clerc"
"259"," podium  yas marina  max verstappen charles leclerc sergio perez abudhabigp  racecrate"
"260","redbullracing maxverstappen   able  help sergio prez       demonstrated  hi "
"261","max verstappen maxverstappen       crucial listen  redbullracing     positi "
"262","max verstappen  won  abudhabigp ahead  charles leclerc  sergio perez leclerc finishes  season seco "
"263","redbullracing schecoperez   able  help sergio prez       demonstrated   pr "
"264"," love   max verstappen  looks    care  sergio perez congratulations  max  winning "
"265","   nice  sergio perez  finish    drivers championship  max verstappen  fk tha "
"266","max verstappen wins   th time   charles leclerc holds   ahead  sergio perez  takes   "
"267","abudhabigpde zafer max verstappenin  charles leclerc  sergio perez"
"268","charles leclerc claims nd    abudhabigp  overall   drivers championship  absolutely  "
"269","skysportsf red bull  max blew    championship   week      tried  "
"270","im   redbullracing pretending    fuck   happened  sergio perez "
"271","ferraris charles leclerc beats red bulls sergio perez   battle     abudhabigp "
"272","fjordan official maxverstappen screwed redbullracing sergio perez   "
"273"," lap  lewis hamilton  time  backmarkers  proved   crucial  sergio perez  charles  "
"274","max verstappen wins  th race   season   amazing season  round   red bull leclerc comes home "
"275","wonder  sergio perez  red bull feel   failing   perez  finish nd   max verstappen wasn "
"276"," max verstappen charles leclerc sergio perez carlos sainz george russell lando norris esteban  "
"277","congrats  charles leclerc  winning  wdc  sergio perez"
"278","  sergio perez   race   drivers championship     sebastian vettel   final  race "
"279","abudhabigp results max verstappen charles leclerc sergio perez carlos sainz george russell land "
"280","redbullracing schecoperez max verstappen  sergio prez  help  abu dhabi ill  "
"281","charles leclerc finishes ahead  sergio perez   track    championship redbullkarma abudhabigp"
"282","thats  real   sergio perez     overall  abudhabigp "
"283","charles leclerc secures     championship narrowly beating sergio perez   season finale  abu "
"284"," season finale  max verstappen charles leclerc sergio prez red bull   dominant  season   "
"285","pole position   th victory    season  double world champion max verstappen charles leclerc "
"286","world champion max verstappen won  seasonending abudhabigp ahead  ferraris charles leclerc  red bull teammate sergio prez ssf"
"287","red bull   screwed sergio perez  "
"288"," sergio perez officially  screwed      standings     mark webber treatment  th "
"289","redbullracing  theyd help sergio perez  abu dhabi   "
"290"," official max verstappen cost sergio perez nd    championship abudhabigp"
"291","max verstappen wins  abudhabigp  huge credit   charles leclerc  sergio prez leclerc performed "
"292","max verstappen winsssssssssss  abu dhabi grand prix ahead  charles leclerc  sergio perez  ffinale abudhabigp"
"293","  checo  proud  rd   wdc  love sergio prez lt"
"294","charles leclerc finishes ahead  sergio perez  takes     drivers standings  mega effort  hold pe "
